mode,level,x,y,parent,reason
M1,0,199.8076211353316,253.9230484541326,coarse_grid,float_prefilter
M1,0,179.8076211353316,288.56406460551017,coarse_grid,float_prefilter
M1,0,159.8076211353316,323.2050807568877,coarse_grid,float_prefilter
M1,0,139.8076211353316,357.8460969082653,coarse_grid,float_prefilter
M1,0,119.80762113533163,392.4871130596428,coarse_grid,float_prefilter
M1,0,99.80762113533163,427.12812921102034,coarse_grid,float_prefilter
M1,0,79.80762113533163,461.7691453623979,coarse_grid,float_prefilter
M1,0,59.80762113533163,496.4101615137755,coarse_grid,float_prefilter
M1,0,39.80762113533163,531.051177665153,coarse_grid,float_prefilter
M1,0,19.80762113533163,565.6921938165306,coarse_grid,float_prefilter
M1,0,-0.19237886466834198,600.3332099679081,coarse_grid,float_prefilter
M1,0,-20.192378864668342,634.9742261192856,coarse_grid,float_prefilter
M1,0,-40.19237886466834,669.6152422706632,coarse_grid,float_prefilter
M1,0,-60.19237886466834,704.2562584220408,coarse_grid,float_prefilter
M1,0,-80.19237886466834,738.8972745734184,coarse_grid,float_prefilter
M1,0,-100.19237886466834,773.5382907247958,coarse_grid,float_prefilter
M1,0,-120.19237886466834,808.1793068761734,coarse_grid,float_prefilter
M1,0,-140.19237886466834,842.820323027551,coarse_grid,float_prefilter
M1,0,-160.19237886466834,877.4613391789285,coarse_grid,float_prefilter
M1,0,-180.19237886466834,912.1023553303061,coarse_grid,float_prefilter
M1,0,-200.19237886466834,946.7433714816837,coarse_grid,float_prefilter
M1,0,-220.19237886466834,981.3843876330611,coarse_grid,float_prefilter
M1,0,-240.19237886466834,1016.0254037844387,coarse_grid,float_prefilter
M1,0,803.1088913245535,-691.0254037844387,coarse_grid,float_prefilter
M1,0,783.1088913245535,-656.3843876330611,coarse_grid,float_prefilter
M1,0,763.1088913245535,-621.7433714816837,coarse_grid,float_prefilter
M1,0,743.1088913245535,-587.1023553303061,coarse_grid,float_prefilter
M1,0,723.1088913245535,-552.4613391789285,coarse_grid,float_prefilter
M1,0,703.1088913245535,-517.820323027551,coarse_grid,float_prefilter
M1,0,683.1088913245535,-483.1793068761734,coarse_grid,float_prefilter
M1,0,663.1088913245535,-448.53829072479584,coarse_grid,float_prefilter
M1,0,643.1088913245535,-413.8972745734184,coarse_grid,float_prefilter
M1,0,623.1088913245535,-379.2562584220408,coarse_grid,float_prefilter
M1,0,603.1088913245535,-344.6152422706632,coarse_grid,float_prefilter
M1,0,583.1088913245535,-309.97422611928573,coarse_grid,float_prefilter
M1,0,563.1088913245535,-275.33320996790815,coarse_grid,float_prefilter
M1,0,543.1088913245535,-240.6921938165306,coarse_grid,float_prefilter
M1,0,523.1088913245535,-206.05117766515306,coarse_grid,float_prefilter
M1,0,503.1088913245535,-171.41016151377553,coarse_grid,float_prefilter
M1,0,483.1088913245535,-136.76914536239795,coarse_grid,float_prefilter
M1,0,463.1088913245535,-102.12812921102042,coarse_grid,float_prefilter
M1,0,443.1088913245535,-67.48711305964287,coarse_grid,float_prefilter
M1,0,423.10889132455355,-32.84609690826531,coarse_grid,float_prefilter
M1,0,403.10889132455355,1.7949192431122185,coarse_grid,float_prefilter
M1,0,383.10889132455355,36.435935394489775,coarse_grid,float_prefilter
M1,0,363.10889132455355,71.07695154586733,coarse_grid,float_prefilter
M1,0,343.10889132455355,105.71796769724487,coarse_grid,float_prefilter
M1,0,323.10889132455355,140.35898384862242,coarse_grid,float_prefilter
M1,0,303.10889132455355,174.99999999999997,coarse_grid,float_prefilter
M1,0,283.10889132455355,209.64101615137753,coarse_grid,float_prefilter
M1,0,263.10889132455355,244.28203230275506,coarse_grid,float_prefilter
M1,0,243.10889132455355,278.92304845413264,coarse_grid,float_prefilter
M1,0,223.10889132455355,313.56406460551017,coarse_grid,float_prefilter
M1,0,203.10889132455355,348.2050807568877,coarse_grid,float_prefilter
M1,0,183.10889132455355,382.8460969082653,coarse_grid,float_prefilter
