case_id,event_index,vertex_index,x_m,y_m
6,5,0,-243.09830494948264,-1077.2618097834902
6,5,1,-241.75098119947066,-1076.7355618358163
6,5,2,-243.67165349894407,-1056.5485983831002
6,5,3,-244.3695738121218,-1056.0204781145455
6,6,0,873.4249106570818,-1518.2845214457138
6,6,1,873.6217851914668,-1519.2414992942715
6,6,2,883.3387001164666,-1494.6052029664393
6,6,3,882.0695422952698,-1493.8931304403654
6,7,0,1560.9386675163582,-239.97700822363606
6,7,1,1574.0198260396621,-245.56334258356907
6,7,2,1585.3073950107016,-239.56795177783704
6,7,3,1584.7315395121086,-226.19118472586936
6,7,4,1559.0846358185704,-216.28715337419627
6,8,0,1287.2880655637277,1227.8522994472423
6,8,1,1276.1455614152874,1237.8903385695676
6,8,2,1283.4754005193968,1210.8467676429418
6,8,3,1293.1627490593337,1202.7166763502128
6,9,0,-45.51362075468054,844.4790410426102
6,9,1,-45.47962527760215,843.8482745290498
6,9,2,-30.717676513960743,837.7532861534759
6,10,0,18.57999293704472,909.1621722341871
6,10,1,15.143196435451614,910.1753061440213
6,10,2,19.79643464631306,882.8810383003386
6,10,3,24.252246957341026,881.7357366351018
6,11,0,-1308.6176585687153,-791.7988648846332
6,11,1,-1309.4575586310575,-790.6035862669327
6,11,2,-1329.3830463163097,-796.2513224138389
6,11,3,-1329.7360462836207,-796.9919011349167
7,0,0,635.1070111415168,-461.34757932896827
7,0,1,651.7812852601477,-473.4599255426742
7,0,2,668.5040715825558,-450.6570959975981
7,0,3,652.2055757627878,-439.66982889258617
7,1,0,615.7348397213746,-683.9628412014491
7,1,1,616.2190152154094,-684.5006669426238
7,1,2,633.6115712627178,-679.9751074046977
7,2,0,168.76314697758536,-691.5074289722493
7,2,1,171.31433972318385,-701.9609478116187
7,2,2,177.6838296286064,-701.5942430213528
7,2,3,190.05087862631336,-691.0299187173144
7,3,0,319.1324881801336,-181.25565039689326
7,3,1,321.81824145919074,-182.78106061187054
7,3,2,332.06192536797676,-180.0161435333963
7,3,3,333.8390677905596,-174.41557659101196
7,3,4,322.6702886367453,-168.580402568922
7,4,0,251.71852508561346,-1679.66613890177
7,4,1,251.97881522154603,-1680.36998333181
7,4,2,279.53115124834335,-1685.5586216144834
7,4,3,280.2093527926982,-1684.002950314965
7,5,0,-119.952829910489,-1610.1223873312967
7,5,1,-122.54033877399304,-1623.304940799068
7,5,2,-99.62089454114665,-1621.301764643078
7,5,3,-97.64503130162919,-1608.959141277683
