case_id,channel,observation_index,time,diameter,mec_radius,particle_count
1,7,4,3555.928312,96.76119731977457,48.380598669887284,632
1,7,5,3808.00732,96.76119731977457,48.380598669887284,632
1,7,6,4060.086328,96.76119731977457,48.380598669887284,632
1,7,7,4292.286328,96.76119731977457,48.380598669887284,632
1,7,8,4504.206628,96.76119731977457,48.380598669887284,632
1,7,9,4755.691888,96.76119731977457,48.380598669887284,632
1,7,10,5007.770896,96.76119731977457,48.380598669887284,632
1,7,11,5300.016396,96.76119731977457,48.380598669887284,327
1,7,12,5630.471186,47.36702601999794,23.683513019999015,2598
1,7,13,5720.98679,15.132734146367643,7.566367083183821,2586
1,8,0,47.0,1501.8089947055882,750.9044973627941,8657
1,8,1,371.8,1501.8089947055882,750.9044973627941,4345
1,8,2,676.366195,87.4843619919136,43.74218100595691,4426
1,8,3,1204.442965,87.4843619919136,43.74218100595691,4426
