family,id,seconds_per_source,cumulative_probability
mixed,448,469.9479340714286,0.30182599355531686
mixed,959,470.0563985,0.3029001074113856
mixed,833,470.1686842666667,0.3039742212674543
mixed,27,470.1758811428571,0.3050483351235231
mixed,591,470.3966110666667,0.30612244897959184
mixed,282,470.8286037142857,0.3071965628356606
mixed,763,470.8513174285714,0.3082706766917293
mixed,242,471.5172318571428,0.30934479054779807
mixed,180,471.6525868666667,0.3104189044038668
mixed,239,471.9796573846154,0.31149301825993553
mixed,269,472.2333547142857,0.3125671321160043
mixed,704,472.25947330769225,0.31364124597207305
mixed,723,472.2633639333333,0.3147153598281418
mixed,584,472.32334307142855,0.3157894736842105
mixed,776,472.3584502307692,0.31686358754027927
mixed,185,472.6348833571428,0.317937701396348
mixed,904,472.8858805714286,0.31901181525241673
mixed,865,473.0481522,0.3200859291084855
mixed,987,473.3049282666667,0.32116004296455425
mixed,427,473.40287013333335,0.322234156820623
mixed,551,473.4850894615385,0.3233082706766917
mixed,341,473.7137889333333,0.32438238453276047
mixed,735,473.71969,0.32545649838882923
mixed,878,473.8487757142857,0.32653061224489793
mixed,568,474.00186613333335,0.3276047261009667
mixed,938,474.1395083076923,0.32867883995703545
mixed,442,474.4949042307693,0.3297529538131042
mixed,66,474.72505584615385,0.3308270676691729
mixed,898,475.1471913076923,0.3319011815252417
mixed,752,475.4777532857143,0.33297529538131043
mixed,557,475.5830902307693,0.33404940923737914
mixed,110,475.6642051333334,0.3351235230934479
mixed,248,476.5845057692308,0.33619763694951665
mixed,612,476.7987349333333,0.3372717508055854
mixed,585,476.84326585714285,0.3383458646616541
mixed,583,476.8809791333333,0.3394199785177229
mixed,145,477.036151,0.34049409237379163
mixed,736,477.8393630666667,0.34156820622986034
mixed,507,478.63390507142856,0.3426423200859291
mixed,922,479.0684717857143,0.34371643394199786
mixed,130,479.3323245,0.3447905477980666
mixed,677,479.8872312857143,0.3458646616541353
mixed,398,480.3105457333333,0.3469387755102041
mixed,407,480.3750067142857,0.34801288936627284
mixed,703,480.5705739285714,0.34908700322234154
mixed,862,480.7850544285714,0.3501611170784103
mixed,750,480.958633,0.35123523093447906
mixed,983,481.1053027857143,0.3523093447905478
mixed,18,481.1882317857143,0.3533834586466165
mixed,888,481.5338590714286,0.3544575725026853
mixed,730,481.94757171428574,0.35553168635875404
mixed,986,482.53087507142857,0.35660580021482274
mixed,207,482.5551368571428,0.3576799140708915
mixed,134,482.62681133333336,0.35875402792696026
mixed,498,483.2973132857143,0.359828141783029
mixed,344,483.53546785714286,0.3609022556390977
mixed,300,483.5821517692308,0.3619763694951665
mixed,573,483.6802872307693,0.36305048335123524
mixed,446,483.7453960666666,0.364124597207304
mixed,801,484.1394631538461,0.3651987110633727
mixed,280,484.1845842307693,0.36627282491944146
mixed,971,484.2842435333333,0.3673469387755102
mixed,23,484.340579875,0.3684210526315789
mixed,711,484.7983593333333,0.3694951664876477
mixed,257,484.79959915384615,0.37056928034371645
mixed,453,484.9578516153846,0.3716433941997852
mixed,818,484.9616343571429,0.3727175080558539
mixed,94,485.0524925333333,0.37379162191192267
mixed,482,485.3500739285714,0.3748657357679914
mixed,61,485.4994154166666,0.37593984962406013
mixed,726,485.5416770769231,0.3770139634801289
mixed,377,485.7096227692308,0.37808807733619765
mixed,552,486.15535885714286,0.3791621911922664
mixed,539,486.215151,0.3802363050483351
mixed,525,486.2552649285714,0.38131041890440387
mixed,373,486.2678397333333,0.38238453276047263
mixed,12,486.46193607142857,0.38345864661654133
mixed,912,486.6479329285714,0.3845327604726101
mixed,353,487.0820286666667,0.38560687432867885
mixed,893,487.2009853571429,0.3866809881847476
mixed,379,487.4305655333334,0.3877551020408163
mixed,354,487.6912904615384,0.38882921589688507
mixed,147,487.7016984,0.38990332975295383
mixed,793,488.7944254285714,0.39097744360902253
mixed,31,489.1471776428571,0.3920515574650913
mixed,359,490.2001218571429,0.39312567132116005
mixed,397,490.2306985384615,0.3941997851772288
mixed,935,490.5418802666666,0.3952738990332975
mixed,155,490.57501784615386,0.3963480128893663
mixed,957,491.420856,0.39742212674543503
mixed,64,492.1508921428572,0.39849624060150374
mixed,336,492.4351486153846,0.3995703544575725
mixed,734,492.7167829285714,0.40064446831364126
mixed,553,493.1908925384615,0.40171858216971
mixed,790,493.221183,0.4027926960257787
mixed,879,493.4239938,0.4038668098818475
mixed,480,493.6560570769231,0.40494092373791624
mixed,489,493.9249505,0.40601503759398494
mixed,954,494.5171640769231,0.4070891514500537
mixed,223,494.7467947142857,0.40816326530612246
mixed,158,494.8529562307692,0.4092373791621912
mixed,174,494.9914437692308,0.4103114930182599
mixed,754,495.1900357857143,0.4113856068743287
mixed,755,495.2708845384616,0.41245972073039744
mixed,149,495.432574,0.41353383458646614
mixed,150,495.50989826666665,0.4146079484425349
mixed,53,495.58962115384617,0.41568206229860366
mixed,478,496.0430470769231,0.4167561761546724
mixed,477,496.1626608,0.4178302900107411
mixed,492,496.9639678666666,0.4189044038668099
mixed,812,497.4791882857143,0.41997851772287864
mixed,24,497.6046041538462,0.42105263157894735
mixed,308,497.62641191666665,0.4221267454350161
mixed,855,498.3384948571429,0.42320085929108486
mixed,260,498.3817345000001,0.4242749731471536
mixed,743,498.7115822307693,0.4253490870032223
mixed,847,499.1335211428572,0.4264232008592911
mixed,213,499.2036823076923,0.42749731471535984
mixed,372,499.4964325384616,0.42857142857142855
mixed,117,500.26568792307694,0.4296455424274973
mixed,604,500.3032311538461,0.43071965628356607
mixed,157,500.8776282307692,0.4317937701396348
mixed,682,501.6780524166666,0.43286788399570353
mixed,956,502.1137508461539,0.4339419978517723
