id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
401,5,early,16,1622.569033,20,early,4682.188521,0.022556390977443608,False,True,True,0.6666666666666666,0.0,740.7574079999995,740.7574079999995,740.7574079999995,0.7193923046262121,True,False,False,False,False,False
401,10,middle,16,3229.230969,15,middle,3075.5265849999996,-0.4642857142857142,False,False,False,0.0,378.44123500000023,0.0,-378.44123500000023,-166.24273300000004,0.1521418684464383,True,True,False,False,False,False
401,15,late,16,4379.267087,10,N16_late,1925.4904669999996,-0.17575757575757575,False,False,True,0.3333333333333333,787.6392050000004,117.2590909999999,-670.3801140000005,117.2590909999999,0.6210505741576682,True,False,False,False,False,False
402,2,early,16,693.114821,23,early,5739.055292,0.5,False,False,False,0.0,689.1342270000005,76.9495050000005,-612.184722,-287.19164699999965,0.17268431883899082,True,True,False,False,False,False
402,17,late,16,5800.128967,8,N16_late,632.0411460000005,0.5952380952380953,False,False,True,0.6666666666666666,32.50562499999978,0.0,-32.50562499999978,0.0,0.015984920216044918,True,True,False,False,True,False
404,9,late,16,3074.482251,16,N16_late,1806.807496,0.6558823529411765,False,False,True,1.0,235.50314600000002,235.50314600000002,0.0,235.50314600000002,0.0,True,True,False,False,False,False
405,1,early,16,119.0,24,early,6111.972793,0.1165470782063308,False,False,False,0.0,1429.3416260000004,663.6132310000003,-765.7283950000001,129.07268699999986,0.0002800539298308813,True,True,False,False,False,False
405,3,early,16,1173.567255,22,early,5057.405538,-0.08752117447769624,False,False,False,0.0,414.1696600000005,576.7155080000002,162.54584799999975,162.54584799999975,0.6434841412949693,True,False,False,False,False,False
405,12,middle,16,3246.464224,13,middle,2984.508569,-0.45604395604395603,False,False,False,0.0,402.5309870000001,11.055099999999584,-391.4758870000005,-391.4758870000005,0.22382091414418626,True,True,False,False,False,False
405,18,late,16,4982.603601,7,N16_late,1248.369192,0.9642857142857145,False,False,True,1.0,44.00665300000037,151.76287200000024,107.75621899999987,151.76287200000024,0.059723340408402326,True,False,False,False,True,False
405,19,late,16,5105.0504,6,N16_late,1125.9223929999998,0.942857142857143,False,True,True,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,True
407,0,early,16,0.0,25,early,7068.499617,0.04731679256598706,False,False,True,0.3333333333333333,841.1816140000001,841.1816140000001,0.0,841.1816140000001,0.0,False,False,False,False,False,False
