audit,delta,directional_count,full,historical_B,historical_failed,id,revised_B,revised_failed,scene_hash,total
True,-0.5625933333333251,4,True,514.0343523333333,0,55,513.471759,0,b27a91bffc03b23807308c52c21ac316ab248c33728f9e64ea29f7e5e1f3ec5a,12
True,0.0,10,True,403.76516925,0,56,403.76516925,0,bbf6b006c2860dceb736b762e2ae1a733db2cd48678d0b916239f772bbe6433b,16
True,0.0,4,True,453.0233287142857,0,57,453.0233287142857,0,bd89ce15e59113fac78203a34d49d3b49f801f89f3887b77d1710fb70a562291,14
True,0.0,10,True,381.3586960625,0,58,381.3586960625,0,357d76b37bececbbe9df68b4fb9aebfe3021d78f18507780e2994d21e58c640f,16
True,0.0,13,True,415.9533133125,0,59,415.9533133125,0,aad096e0ffe73811e8ac5133dd5ed3ade1ad373f6e6ed825904e5066d8d53969,16
True,0.10311263636356216,7,True,637.9598344545454,0,60,638.062947090909,0,56ab3de5021d4be703f85d9262870031aa680e12be08c239efea8cf7ca356f12,11
True,0.0,2,True,485.49941541666664,0,61,485.49941541666664,0,b7393e3462e7c51c075161c28b25320e0bcddb025d2aa3d1c018dc816cec0002,12
True,0.0,12,True,611.0738729999999,0,62,611.0738729999999,0,4483b7bef371b06ba41968fa2e76000fea587b7993c8b1b8ac3575b3548a41e2,12
True,6.837500001211083e-05,3,True,379.5946365625,0,63,379.5947049375,0,6ad04cbc28fa24ad4fb50def9b28d6b59de117f0fe9c055660b2a47173b1fea0,16
True,0.0070010000000024775,1,True,492.14389114285717,0,64,492.1508921428572,0,9f1c242ec1ead7869b2438d54ed55b83e5442fe731c146a06eeb6792815700dc,14
True,0.0,3,True,690.4262404,0,65,690.4262404,0,16278abf65d9c1b301b55c4131f4526e8c9273750d2550da29173eb81728aa00,10
True,0.0,4,True,474.72505584615385,0,66,474.72505584615385,0,c79e8e1d828da6135721cff93b17b17cf16236cb46fc369220a9c115559f2f15,13
True,-0.01855790909087318,3,True,598.1785866363635,0,67,598.1600287272727,0,71419f7c065edd0caa27dda5ac57393fc08ba48eb4f1577d77f4e3438513858b,11
True,0.0,12,True,532.2844680833333,0,68,532.2844680833333,0,5541263b4b78919dd9217efc47951acf8138eb6d608bfbd62f5710290467efe6,12
True,0.0,11,True,425.947895625,0,69,425.947895625,0,2f78223e29a2c2e231c6cc66f61282efd3be07ea963a48fa88e9bd11b1904c4d,16
True,0.008180357142805406,11,True,551.9260296428572,0,70,551.93421,0,35d443ecc9a9229441b566e59d0c2908d531fefcf3305dfc7652c176cc23d8a5,14
True,0.19608366666670918,10,True,597.2702880833333,0,71,597.46637175,0,eacc64cdc7338b78f0efdb9ed2e00feae52589ba3c6d78d03108abff6e0d8d1e,12
True,0.0,15,True,453.8938288,0,72,453.8938288,0,524db4fc12a9bbc2f938d4383e67be15568062babafbfa1f399ec728b080121c,15
True,-0.000277333333315255,10,True,581.328886,0,73,581.3286086666667,0,8c953e0a0df37973fe9fe302fbd707a480587e0e0f374187722df9ccac89143e,12
True,0.016141599999969003,11,True,457.9788198,0,74,457.99496139999997,0,56bd76d4fb3327dcbecb04f6fdfb3bb9602d0795d4745acb6252dec29d0a1210,15
True,0.006059357142873978,1,True,502.91738464285714,0,75,502.923444,0,ca6bd98262ac47a58065ab0573d733ea9f14f3b524c3157f720e94eceba16970,14
True,0.000545583333405375,6,True,539.3511040833333,0,76,539.3516496666667,0,011855a79645c17a7f1d4b55055d7eb84fe53417199a39105ba36ed960e0efe7,12
True,0.0,2,True,522.5991441666666,0,77,522.5991441666666,0,07e4526030043ee390675fb477c2af90692f4e72a65958df7e907a157e7abd21,12
True,0.030719099999942046,9,True,672.8902279,0,78,672.920947,0,303fcfa003e113d00aeebdfe03b8f96a6ac1e6335b919b15ff6ec092ada58cae,10
True,0.0009662142856541323,14,True,535.9429913571429,0,79,535.9439575714285,0,3a149717f2e98b190c6cd5c57f4920d0efe3eee4a1e260c20c7b9adb831d9dc3,14
True,6.250002115848474e-08,10,True,264.238226,0,80,264.2382260625,0,b122682061a12ca2a093f50e3b4428eb8354fe0816e52e4cf9dd7ab60b000a4b,16
True,0.0,10,True,610.6311968181818,0,81,610.6311968181818,0,d9e6d4d8cd8129cfdc84b4349236e7b42021957c1c2833bcccd1554f40db90c3,11
True,0.0,8,True,337.9333934375,0,82,337.9333934375,0,ad489a6d375acd5c409cea316ede5090475598ab75db3ad3827c8fdac00e258f,16
True,0.2830468333332874,10,True,608.9577728333334,0,83,609.2408196666667,0,f910822fa8eaf8d1f0fa843ebc921746f309343c435ee4c9f94c7d8b3217aace,12
True,0.295613000000003,2,True,559.4969388181818,0,84,559.7925518181818,0,f3729e057bc4d456a6d31d90e65ac261898aba533327bbcf49447e38a9821f7c,11
True,0.0,2,True,666.1376216,0,85,666.1376216,0,14baf25b2caede989b14c8391bd8612493721ac66332d04ef6206e2bcd75d293,10
True,0.0035020000000258733,5,True,579.1020212727273,0,86,579.1055232727273,0,ab9169aad8e519071e11278b1753ed557fc2b5d6ac2d812b8af57ffc0e13ed9b,11
True,0.01701900000000478,3,True,591.8970479090909,0,87,591.9140669090909,0,b883c257a261c1c8b9f3cf2b2e9de25b24e86df592b03f1cfbbb221b43c9847f,11
True,0.0,10,True,533.2559727142857,0,88,533.2559727142857,0,2de2d2cd5f88e34f9414e4653e047dd104a67497e3d0d8871606f8270ef48652,14
True,-0.2120971874999782,2,True,340.91047075,0,89,340.6983735625,0,fb358029600a8a27508122f5f62bc2c5687087281178cac70cd72225e13c1f4c,16
True,0.0,7,True,740.6981280909091,0,90,740.6981280909091,0,348240be330c2932503dc8a5512276126fd5ee9d9427979e9df08ddc92b9d7e1,11
True,-0.057187999999996464,1,True,443.4714914,0,91,443.4143034,0,dcf2b9d1275c976ef75a873b68b9ac5d45f871d99adbb822a9f86c2b0083133d,15
True,-0.3033368181818332,5,True,634.1628771818182,0,92,633.8595403636364,0,b5bb06fcc45507883f290d94f96ba2384775a80d04f4aece293246341bab5308,11
True,0.0,6,True,506.52581575,0,93,506.52581575,0,75e6d0830554ef7532fa91846e2f8750af73f3ebbbbc1fd0cf056a82af8422ff,12
True,0.0,14,True,485.0524925333333,0,94,485.0524925333333,0,536b52a93db4e4873daaa0a4211a8fd7c93e68f11a9591c4061575f134757a65,15
True,-0.010138000000040392,1,True,349.143122875,0,95,349.132984875,0,e1de7f664da2b4b4c895cc8501a062ac31cf96de11b3197958e2c36dea4de0fc,16
