id,N,group,spearman,top1,top3,pred_gain,best_gain,top3_gain,hit,R12hit,pred_release,R12release
76,16,N16_late,-0.3765723339400754,False,False,-377.21655100000044,159.66533199999958,0.0,True,False,False,False
76,16,N16_late,-0.4761904761904762,False,False,-341.1407340000005,99.66533199999958,0.0,True,False,False,False
76,16,N16_late,-0.08571428571428573,False,True,-160.50320200000078,21.681523999999627,21.681523999999627,True,True,False,False
77,16,middle,-0.2588235294117647,False,False,-1316.27803,144.67706699999962,0.0,True,False,False,False
77,16,N16_late,0.45,False,True,-367.34442800000033,0.0,0.0,True,False,False,False
77,16,late,-0.523809523809524,False,False,-725.7614280000007,0.0,0.0,True,False,False,False
78,16,early,-0.11818181818181818,False,False,241.15017099999932,1657.845655,241.15017099999932,True,True,False,False
78,16,middle,0.1985294117647059,False,False,-127.24220500000047,761.9858340000001,585.2159609999999,True,True,False,False
78,16,middle,-0.08181818181818183,False,True,-371.7052840000006,581.7332999999999,581.7332999999999,False,False,False,False
78,16,N16_late,0.8571428571428572,True,True,312.5512199999994,312.5512199999994,312.5512199999994,True,False,True,False
78,16,N16_late,0.7714285714285715,True,True,633.7599599999994,633.7599599999994,633.7599599999994,True,False,True,False
78,16,N16_late,0.6,True,True,268.7421029999996,268.7421029999996,268.7421029999996,True,False,True,False
79,16,middle,0.5931372549019609,False,True,28.460923000000548,297.96421400000054,297.96421400000054,True,False,False,False
79,16,late,0.005494505494505494,False,False,-362.7244959999998,215.74265900000046,0.0,True,False,False,False
79,16,N16_late,0.23636363636363636,False,False,-10.194042000000081,26.825505000000703,0.0,True,True,True,False
79,16,late,-0.28484848484848485,False,False,-378.2929859999995,131.54200800000035,10.110380000000077,False,True,False,True
80,16,middle,0.5823529411764706,False,False,-87.66200899999967,168.1452879999997,21.159959999999955,True,True,False,False
80,16,N16_late,0.2747252747252747,False,False,-975.3655719999997,113.88504400000056,0.0,True,False,False,False
80,16,late,0.4825174825174825,False,False,-1070.2438809999994,38.110429999999724,0.0,True,True,False,False
80,16,N16_late,0.6121212121212121,False,False,-365.0562369999998,0.0,0.0,True,True,True,True
81,16,early,-0.2530985056570318,False,True,-1359.2537570000004,0.0,0.0,True,True,False,False
82,16,middle,-0.357253532379073,False,False,-1954.9675290000005,0.0,0.0,True,True,False,False
83,16,N16_late,0.0,False,True,-379.2527829999999,92.05727200000001,92.05727200000001,True,False,False,False
84,16,N16_late,0.642857142857143,False,True,-39.202336999999716,101.5569660000001,101.5569660000001,True,False,True,False
86,16,N16_late,0.406060606060606,False,True,-240.51573300000018,225.67631299999994,225.67631299999994,False,False,False,False
86,16,N16_late,-0.49999999999999994,False,False,-452.3921100000007,0.0,0.0,False,True,False,True
87,16,late,0.8461538461538461,True,True,102.1593870000006,102.1593870000006,102.1593870000006,True,True,False,False
88,16,late,0.7274725274725276,False,False,-655.0184250000002,0.0,0.0,False,False,False,False
88,16,N16_late,0.7472527472527472,False,True,-350.07258,0.0,0.0,True,True,False,True
90,16,late,0.3571428571428572,False,False,471.9764719999994,615.2392259999997,471.9764719999994,True,False,True,False
90,16,late,0.5,False,True,-22.257010000000264,0.0,0.0,True,True,True,True
