id,cohort,family,total,comparison,delta_s_per_source,delta_percent,delta_total_s,baseline_s_per_source,valid
45,evaluation,strict_mixed_stratified,11,R2-R0,-194.65205027272725,-23.09657139295278,-2141.1725530000003,842.7746567272727,True
45,evaluation,strict_mixed_stratified,11,R12-R0,-194.65205027272725,-23.09657139295278,-2141.1725530000003,842.7746567272727,True
45,evaluation,strict_mixed_stratified,11,R12-R1,-194.65205027272725,-23.09657139295278,-2141.1725530000003,842.7746567272727,True
45,evaluation,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,648.1226064545455,True
46,evaluation,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,684.9560352499999,True
46,evaluation,strict_mixed_stratified,12,R2-R0,-128.88612524999985,-18.816700432891015,-1546.633502999999,684.9560352499999,True
46,evaluation,strict_mixed_stratified,12,R12-R0,-128.88612524999985,-18.816700432891015,-1546.633502999999,684.9560352499999,True
46,evaluation,strict_mixed_stratified,12,R12-R1,-128.88612524999985,-18.816700432891015,-1546.633502999999,684.9560352499999,True
46,evaluation,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,556.06991,True
47,evaluation,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,689.2312994615385,True
47,evaluation,strict_mixed_stratified,13,R2-R0,-157.41273292307687,-22.838883412006314,-2046.3655279999994,689.2312994615385,True
47,evaluation,strict_mixed_stratified,13,R12-R0,-157.41273292307687,-22.838883412006314,-2046.3655279999994,689.2312994615385,True
47,evaluation,strict_mixed_stratified,13,R12-R1,-157.41273292307687,-22.838883412006314,-2046.3655279999994,689.2312994615385,True
47,evaluation,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,531.8185665384616,True
48,evaluation,strict_mixed_stratified,14,R1-R0,0.0,0.0,0.0,633.0719720714286,True
48,evaluation,strict_mixed_stratified,14,R2-R0,-141.37104464285716,-22.330959334732082,-1979.194625,633.0719720714286,True
48,evaluation,strict_mixed_stratified,14,R12-R0,-141.37104464285716,-22.330959334732082,-1979.194625,633.0719720714286,True
48,evaluation,strict_mixed_stratified,14,R12-R1,-141.37104464285716,-22.330959334732082,-1979.194625,633.0719720714286,True
48,evaluation,strict_mixed_stratified,14,R12-R2,0.0,0.0,0.0,491.70092742857145,True
49,evaluation,strict_mixed_stratified,15,R1-R0,0.0,0.0,0.0,628.7494934666666,True
49,evaluation,strict_mixed_stratified,15,R2-R0,-86.64788846666659,-13.780987399119114,-1299.7183269999996,628.7494934666666,True
49,evaluation,strict_mixed_stratified,15,R12-R0,-86.64788846666659,-13.780987399119114,-1299.7183269999996,628.7494934666666,True
