audit,certified_clears,clear_attempts,cleared,completion_reason,device,discovery_nodes,distance_m,execution_backend,localization_observations,mean_time_per_source_s,measures,mixed,optical_fallbacks,policy,problem,runtime_s,seed,status,total,variant,virtual_time_s,wall_s
True,11,11,11,coverage_exhausted,cpu,7,13581.033559246185,LOCAL_DEV,33,313.109701,113,False,0,P3,3,0.716609499999322,47,FULL_CLEAR,11,D,3444.206711,0.717149200005224
True,14,14,14,coverage_exhausted,cpu,7,18391.82234785918,LOCAL_DEV,37,311.0974622857143,102,False,0,P3,3,0.8616482999932487,48,FULL_CLEAR,14,A,4355.364472,0.8620624999894062
True,14,14,14,coverage_exhausted,cpu,7,15773.687390985377,LOCAL_DEV,37,279.40981999999997,115,False,0,P3,3,0.8018899000016972,48,FULL_CLEAR,14,D,3911.73748,0.8024354999943171
True,10,10,10,coverage_exhausted,cpu,7,16144.86724344991,LOCAL_DEV,29,393.0973451,110,False,0,P3,3,0.7558792000054382,49,FULL_CLEAR,10,A,3930.973451,0.7563813000015216
True,10,10,10,coverage_exhausted,cpu,7,13128.184959870638,LOCAL_DEV,27,336.8636995,116,False,0,P3,3,0.4767846000031568,49,FULL_CLEAR,10,D,3368.636995,0.4772398999921279
True,15,121,16,coverage_exhausted,cpu,7,19024.58635392221,LOCAL_DEV,45,306.0573303125,117,False,1,P3,3,0.951815100008389,50,FULL_CLEAR,16,A,4896.917285,0.952592999994522
True,16,16,16,coverage_exhausted,cpu,7,15656.167198056832,LOCAL_DEV,46,244.6395900625,118,False,0,P3,3,1.0134319000062533,50,FULL_CLEAR,16,D,3914.233441,1.0139594999927795
True,11,11,11,coverage_exhausted,cpu,7,17618.814063205507,LOCAL_DEV,29,378.06934654545455,98,False,0,P3,3,0.7768733999982942,51,FULL_CLEAR,11,A,4158.762812,0.7772822999977507
True,11,11,11,coverage_exhausted,cpu,7,11683.218015168111,LOCAL_DEV,30,281.42214590909094,118,False,0,P3,3,0.6389204999868525,51,FULL_CLEAR,11,D,3095.643605,0.6392238999978872
True,14,14,14,coverage_exhausted,cpu,7,19324.242980727857,LOCAL_DEV,39,321.98918521428567,97,False,0,P3,3,1.0475092999986373,52,FULL_CLEAR,14,A,4507.848593,1.047922199999448
True,14,14,14,coverage_exhausted,cpu,7,14871.081677390117,LOCAL_DEV,42,264.229738,110,False,0,P3,3,0.885285099997418,52,FULL_CLEAR,14,D,3699.216332,0.8857761999970535
True,13,13,13,coverage_exhausted,cpu,7,15983.687624656834,LOCAL_DEV,37,299.28750192307695,106,False,0,P3,3,0.9384796000085771,53,FULL_CLEAR,13,A,3890.737525,0.9389392999873962
True,13,13,13,coverage_exhausted,cpu,7,15022.944740665507,LOCAL_DEV,37,288.7376110769231,115,False,0,P3,3,0.9538757999980589,53,FULL_CLEAR,13,D,3753.588944,0.9544138000055682
True,11,11,11,coverage_exhausted,cpu,7,13881.342940748778,LOCAL_DEV,34,324.2062354545455,124,False,0,P3,3,0.9754648000089219,54,FULL_CLEAR,11,A,3566.26859,0.9759755999984918
True,11,11,11,coverage_exhausted,cpu,7,12353.368633910273,LOCAL_DEV,33,301.0612478181818,132,False,0,P3,3,0.8634387000056449,54,FULL_CLEAR,11,D,3311.673726,0.8640956000017468
True,12,12,12,coverage_exhausted,cpu,7,14494.007432837476,LOCAL_DEV,32,303.40012383333334,115,False,0,P3,3,0.7885701000050176,55,FULL_CLEAR,12,A,3640.801486,0.7890523999958532
True,12,12,12,coverage_exhausted,cpu,7,13247.434903568255,LOCAL_DEV,32,290.29058175,130,False,0,P3,3,0.7771665000036592,55,FULL_CLEAR,12,D,3483.486981,0.7777079999941634
True,15,15,15,coverage_exhausted,cpu,7,21503.284547270305,LOCAL_DEV,39,332.7771272,104,False,0,P3,3,0.922650300009991,56,FULL_CLEAR,15,A,4991.656908,0.9229859000042779
True,15,15,15,coverage_exhausted,cpu,7,17951.75301192892,LOCAL_DEV,41,286.42337353333335,106,False,0,P3,3,0.7926732000050833,56,FULL_CLEAR,15,D,4296.350603,0.7930284999893047
True,12,12,12,coverage_exhausted,cpu,7,17069.237853546638,LOCAL_DEV,31,345.2372975,113,False,0,P3,3,0.9828188000101363,57,FULL_CLEAR,12,A,4142.84757,0.9834446000022581
True,12,12,12,coverage_exhausted,cpu,7,14342.825224827582,LOCAL_DEV,34,305.88042025,125,False,0,P3,3,0.9546440999984043,57,FULL_CLEAR,12,D,3670.565043,0.9549451000057161
True,10,10,10,coverage_exhausted,cpu,7,14251.161893443072,LOCAL_DEV,29,355.6232377,111,False,0,P3,3,0.8085179000045173,58,FULL_CLEAR,10,A,3556.232377,0.8089933000010205
True,10,10,10,coverage_exhausted,cpu,7,11610.87361039337,LOCAL_DEV,30,308.1174721,119,False,0,P3,3,0.6567215000104625,58,FULL_CLEAR,10,D,3081.174721,0.6571895999950357
True,14,14,14,coverage_exhausted,cpu,7,16265.969664437862,LOCAL_DEV,40,281.0852812142857,103,False,0,P3,3,0.9242107000027318,59,FULL_CLEAR,14,A,3935.193937,0.924669800006086
True,14,14,14,coverage_exhausted,cpu,7,15281.905957433486,LOCAL_DEV,43,275.4557995714286,123,False,0,P3,3,1.016859299998032,59,FULL_CLEAR,14,D,3856.381194,1.0173704999906477
True,15,15,15,coverage_exhausted,cpu,7,19900.46992243752,LOCAL_DEV,42,312.8062658,108,False,0,P3,3,1.0996799999993527,60,FULL_CLEAR,15,A,4692.093987,1.099971200004802
True,15,15,15,coverage_exhausted,cpu,7,17136.03416374304,LOCAL_DEV,46,283.3471222,126,False,0,P3,3,1.0547703000047477,60,FULL_CLEAR,15,D,4250.206833,1.0553523999988101
True,15,15,15,coverage_exhausted,cpu,7,18370.56557968932,LOCAL_DEV,44,295.14087440000003,114,False,0,P3,3,0.9303456000052392,61,FULL_CLEAR,15,A,4427.113116,0.9308178999926895
True,15,15,15,coverage_exhausted,cpu,7,17299.34374301882,LOCAL_DEV,46,283.124583,120,False,0,P3,3,0.9418520999897737,61,FULL_CLEAR,15,D,4246.868745,0.9423779000062495
True,13,13,13,coverage_exhausted,cpu,7,17487.354923929597,LOCAL_DEV,38,320.190076,102,False,0,P3,3,1.1783503000042401,62,FULL_CLEAR,13,A,4162.470988,1.1788180000003194
True,13,13,13,coverage_exhausted,cpu,7,13654.398306077375,LOCAL_DEV,39,265.3753585384615,110,False,0,P3,3,0.8499452999967616,62,FULL_CLEAR,13,D,3449.879661,0.850506700007827
True,12,12,12,coverage_exhausted,cpu,7,18472.32495369159,LOCAL_DEV,33,364.1220826666667,104,False,0,P3,3,0.9448146000067936,63,FULL_CLEAR,12,A,4369.464992,0.9450823000079254
True,12,12,12,coverage_exhausted,cpu,7,16672.04021117072,LOCAL_DEV,39,348.78400358333334,133,False,0,P3,3,0.9736536999989767,63,FULL_CLEAR,12,D,4185.408043,0.9742001999984495
True,11,11,11,coverage_exhausted,cpu,7,15604.296148237221,LOCAL_DEV,29,353.53265736363636,120,False,0,P3,3,0.7795048999978462,64,FULL_CLEAR,11,A,3888.859231,0.779991199990036
True,11,11,11,coverage_exhausted,cpu,7,14795.878852041606,LOCAL_DEV,32,340.47052445454545,123,False,0,P3,3,0.8415975000098115,64,FULL_CLEAR,11,D,3745.175769,0.8420973000029335
True,11,11,11,coverage_exhausted,cpu,7,15212.792422215083,LOCAL_DEV,28,339.868953,108,False,0,P3,3,0.6486366000026464,65,FULL_CLEAR,11,A,3738.558483,0.6490984999982174
