id,variant,channel,adopted,saving_us,planning_wall_s
10,B,18,True,1673656,0.029822699987562373
10,B,14,True,782466,0.10385179999866523
10,B,13,True,4285331,0.03254059999017045
10,B,6,True,873221,0.026952700020046905
10,B,2,True,2564975,0.020833999995375052
11,A,4,True,5716244,0.03743409999879077
11,A,10,True,3362009,0.026046200015116483
11,A,18,True,4957498,0.02226090000476688
11,A,19,True,2291300,0.027669299975968897
11,A,13,True,5450967,0.03155670000705868
11,A,2,True,632498,0.02968110001529567
11,A,8,True,12085,0.08771770002203993
11,A,9,True,1063630,0.02846190001582727
11,A,20,True,1497661,0.0286809999961406
11,B,8,True,108394,0.0265281000174582
11,B,9,True,3072997,0.025045500020496547
11,B,2,True,1660800,0.026047299994388595
11,B,13,True,823537,0.02563310001278296
11,B,19,True,4948168,0.027280500013148412
11,B,4,True,2898831,0.027110100025311112
11,B,18,True,1149263,0.09821659998851828
11,B,10,True,1513490,0.02792970000882633
11,B,20,True,2378497,0.11246440000832081
11,B,7,True,1825319,0.026892900001257658
12,A,8,True,4440680,0.11457909998716787
12,A,17,True,2018203,0.0406199999852106
12,A,2,True,937336,0.10891239999909885
12,A,10,True,3222083,0.09737549998681061
12,A,13,True,4304300,0.08764799998607486
12,A,3,True,1625554,0.026927500031888485
12,A,5,True,4604829,0.026650699990568683
12,A,20,True,573200,0.020266300009097904
12,A,9,True,3972732,0.02632070000981912
12,A,4,True,1697385,0.02738599997246638
12,A,12,True,3155869,0.024784900015220046
12,A,7,True,222999,0.019901400024536997
12,A,11,True,5292967,0.019487799989292398
12,B,20,True,5004673,0.037948900018818676
12,B,9,True,496194,0.03300869997474365
12,B,3,True,2181278,0.10091929999180138
12,B,17,True,1535309,0.030060999997658655
12,B,2,True,4543025,0.03697159999865107
12,B,10,True,381742,0.1064343000180088
12,B,13,True,2015313,0.10770900000352412
12,B,8,True,179246,0.02859339999849908
12,B,15,True,2122717,0.024453099991660565
12,B,7,True,2705633,0.02797270001610741
12,B,4,True,1797324,0.13106049998896196
12,B,12,True,2931832,0.026139499997952953
12,B,11,True,1584872,0.02455759997246787
13,A,7,True,325192,0.055996599985519424
13,A,1,True,2569224,0.04285200001322664
13,A,6,True,3291873,0.036760900024091825
13,A,11,True,86044,0.10320509999291971
13,A,14,True,2856753,0.033456800010753796
13,A,8,True,3302454,0.1183483999921009
13,A,13,True,1906855,0.11060630000429228
13,A,10,True,1000429,0.03746809999574907
13,A,9,True,532740,0.036495700012892485
13,A,2,True,6126548,0.03379970000241883
13,A,20,True,2118303,0.033337000029860064
13,A,4,True,3859180,0.037369800003943965
13,A,3,True,2020732,0.025591500016162172
13,A,18,True,1941157,0.025877400010358542
13,B,2,True,3019424,0.03183029999490827
13,B,17,True,1636667,0.115142199996626
13,B,9,True,2545263,0.0270277000090573
13,B,3,True,2987414,0.03641080000670627
13,B,4,True,225879,0.037626300007104874
13,B,1,True,1619,0.0400804000091739
13,B,15,True,1531775,0.12306779998471029
13,B,7,True,3111874,0.029520399984903634
13,B,6,True,1960724,0.10196100000757724
13,B,11,True,2085291,0.09525959996972233
13,B,14,True,1156542,0.10443570002098568
13,B,20,True,1158956,0.11515490000601858
13,B,18,True,2439508,0.0806260000099428
13,B,13,True,1751111,0.10092779999831691
13,B,10,True,5272996,0.10096519999206066
13,B,8,True,1762858,0.021390800015069544
14,A,19,True,1850278,0.07765640001161955
14,A,15,True,410699,0.03692290000617504
14,A,5,True,46106,0.04282239999156445
14,A,3,True,1963602,0.04338709998410195
14,A,6,True,14784,0.040354999975534156
14,A,20,True,320452,0.11824660000274889
14,A,14,True,456877,0.03976469999179244
14,A,4,True,1406223,0.09086659998865798
14,A,10,True,1036867,0.14770480000879616
14,A,12,True,564236,0.10669819999020547
14,A,2,True,4420353,0.026231499999994412
14,B,20,True,1286554,0.09872840001480654
14,B,14,True,2150646,0.11067010002443567
14,B,6,True,703831,0.021137299976544455
14,B,10,True,4893933,0.03281860001152381
14,B,4,True,5813930,0.02343149998341687
14,B,12,True,1454617,0.022841299971332774
14,B,19,True,352740,0.08667070002411492
14,B,15,True,1868757,0.022937800007639453
14,B,3,True,294695,0.09423360001528636
14,B,5,True,2634595,0.07044760001008399
14,B,2,False,0,0.032497999985935166
15,A,20,True,497135,0.1387323000235483
15,A,10,True,2910679,0.05921649999800138
15,A,17,True,3635922,0.04760890000034124
15,A,16,True,813119,0.04549380001844838
15,A,12,True,686695,0.046677100006490946
15,A,2,True,1400890,0.11320570000680164
15,A,5,True,1596464,0.12369300000136718
15,A,14,True,187084,0.08922199998050928
15,A,6,True,587700,0.03433729999233037
