id,step,repeat,channel,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
273,19,2,3,62.622977668623236,128,512,95.00000000000016,13
273,19,2,4,77.35239442874872,128,512,474.00000000000045,8
273,19,2,5,81.37012839277536,128,512,167.00000000000009,9
273,19,2,7,50.17281776261946,128,512,512.0,23
273,19,2,8,74.42909494920353,128,512,349.0000000000001,12
273,19,2,9,77.74133268632502,128,512,401.00000000000006,8
273,19,2,10,92.16400365172214,128,512,305.0,6
273,19,2,11,88.74199355098769,128,512,512.0,7
273,19,2,12,55.812465271820216,128,512,453.99999999999915,16
273,19,2,14,93.31452153972006,128,512,358.99999999999926,2
273,19,2,15,61.65196512883324,128,512,319.9999999999998,17
273,19,2,17,83.91652580067391,128,512,512.0,9
273,19,2,20,59.02493380485068,128,512,147.99999999999991,26
503,16,2,2,41.27365758390314,128,512,206.9999999999996,37
503,16,2,3,69.67328181220287,128,512,506.00000000000034,17
503,16,2,5,83.14663657169096,128,512,463.00000000000017,7
503,16,2,6,51.911111111111126,128,512,94.00000000000013,39
503,16,2,7,54.24866016164894,128,512,208.99999999999994,30
503,16,2,8,78.1904910211988,128,512,260.9999999999999,10
503,16,2,9,68.33596172128361,128,512,505.0000000000002,15
503,16,2,10,6.071055739145553,128,512,298.99999999999983,120
503,16,2,11,58.09577799739106,128,512,509.9999999999991,18
503,16,2,12,55.644894315083555,128,512,511.0,13
503,16,2,13,85.09459945615058,128,512,512.0,6
503,16,2,14,84.5889018576955,128,512,511.9999999999998,6
503,16,2,15,41.44987112845114,128,512,127.99999999999972,26
503,16,2,17,68.39849327758172,128,512,152.99999999999994,19
503,16,2,20,69.61708328043859,128,512,95.99999999999999,7
503,16,1,2,37.14425012491954,128,512,125.99999999999984,34
503,16,1,3,63.09706114285695,128,512,511.0,16
503,16,1,5,76.37447118271061,128,512,39.00000000000006,9
503,16,1,6,51.49506673237644,128,512,94.00000000000013,24
503,16,1,7,52.08867760439702,128,512,302.0000000000004,25
503,16,1,8,67.15497000871768,128,512,511.9999999999998,9
503,16,1,9,63.447676507372094,128,512,122.00000000000026,12
503,16,1,10,13.992879785614118,128,512,298.99999999999983,113
503,16,1,11,71.31541655980973,128,512,362.99999999999943,6
503,16,1,12,55.4166316392149,128,512,92.00000000000001,21
503,16,1,13,88.58910878888452,128,512,463.00000000000006,6
503,16,1,14,82.72183323150567,128,512,511.9999999999998,2
503,16,1,15,45.43010346384954,128,512,92.00000000000003,27
503,16,1,17,66.35332943205249,128,512,140.99999999999997,12
503,16,1,20,68.36035708130326,128,512,393.00000000000006,7
503,16,0,2,44.23174729533262,128,512,99.00000000000013,31
503,16,0,3,66.79125748764507,128,512,511.9999999999998,24
503,16,0,5,80.94521891068402,128,512,477.00000000000136,6
503,16,0,6,45.75166106573706,128,512,80.99999999999991,34
503,16,0,7,46.36820275570758,128,512,238.00000000000045,28
503,16,0,8,72.91569214606879,128,512,500.0000000000005,7
503,16,0,9,67.49919438201455,128,512,478.99999999999943,12
503,16,0,10,5.141262769452338,128,512,289.9999999999997,122
503,16,0,11,68.9915291744848,128,512,119.00000000000009,12
503,16,0,12,59.745663945637716,128,512,353.99999999999955,15
503,16,0,13,88.11581306562395,128,512,280.99999999999983,7
