cohort,problem,seed,seed_hex,baseline,candidate,baseline_s_per_source,candidate_s_per_source,delta_s_per_source,comparison,total_time_delta_s,distance_delta_m,certificate_travel_delta_m,discovery_delta_s,active_localization_delta_s,diagnostic_delta_s,optical_fallback_delta_s,certified_clear_delta_s
development100,4,14,0000000000000000000000000000000000000000000000000000001000000000,mec_center,segment_entry,926.7426691538462,924.6057957692308,-2.1368733846154555,win,-27.77935400000024,-138.89677204997133,-117.03677548306928,-3.639654000002338,-0.7323460000038722,0.0,0.0,-23.40735399999511
development100,4,14,0000000000000000000000000000000000000000000000000000001000000000,nccp,segment_entry,924.6001206153846,924.6057957692308,0.0056751538461412565,loss,0.07377699999960896,0.36889048625016585,-0.0630231132749941,0.3269449999970675,-0.24056200000131867,0.0,0.0,-0.012605999996480932
development100,4,15,0000000000000000000000000000000000000000000000000000040000000000,mec_center,nccp,781.6907917857143,780.3248812857144,-1.3659104999999272,win,-19.122746999999436,-95.6137226635692,-88.19307407714177,-2.972927000002528,1.969028000001117,-0.4802319999998872,0.0,-17.638616000000184
development100,4,15,0000000000000000000000000000000000000000000000000000040000000000,mec_center,segment_entry,781.6907917857143,780.3472082857143,-1.3435835000000225,win,-18.810169000000315,-94.05084242883459,-88.04122585099276,-3.0020690000019385,2.282628000000841,-0.48248199999966346,0.0,-17.608246000001145
development100,4,15,0000000000000000000000000000000000000000000000000000040000000000,nccp,segment_entry,780.3248812857144,780.3472082857143,0.02232699999990473,loss,0.31257799999912095,1.562880234734621,0.1518482261490135,-0.029141999999410473,0.3135999999997239,-0.0022499999997762643,0.0,0.030369999999038555
development100,4,16,0000000000000000000000000000000000000000000000000001000000000000,mec_center,nccp,1144.4486235454547,1145.1747431818183,0.7261196363635918,loss,7.9873159999988275,39.93656904580712,-123.51940825278257,5.534120000000257,27.89902799999868,-0.7419489999992948,0.0,-24.70388300000093
development100,4,16,0000000000000000000000000000000000000000000000000001000000000000,mec_center,segment_entry,1144.4486235454547,1145.2923126363637,0.843689090909038,loss,9.280579999998736,46.40289971653692,-118.53454820058414,6.038805999996839,27.91915600000243,-0.970471999999063,0.0,-23.70691000000204
development100,4,16,0000000000000000000000000000000000000000000000000001000000000000,nccp,segment_entry,1145.1747431818183,1145.2923126363637,0.1175694545454462,loss,1.2932639999999083,6.466330670729803,4.984860052198428,0.5046859999965818,0.020128000003751367,-0.22852299999976822,0.0,0.9969729999988886
development100,4,17,0000000000000000000000000000000000000000000000000040000000000000,mec_center,nccp,745.6814755333332,743.8080903333333,-1.873385199999916,win,-28.10077799999999,-140.5038926983616,-108.70630894119222,-2.221051999998963,-4.138465999998289,0.0,0.0,-21.741260000001603
development100,4,17,0000000000000000000000000000000000000000000000000040000000000000,mec_center,segment_entry,745.6814755333332,744.5173566666667,-1.164118866666513,win,-17.46178299999883,-112.30890668352367,-435.5767468007243,-2.981808999997156,72.63537499999961,0.0,0.0,-87.11534900000038
development100,4,17,0000000000000000000000000000000000000000000000000040000000000000,nccp,segment_entry,743.8080903333333,744.5173566666667,0.709266333333403,loss,10.63899500000116,28.194986014837923,-326.8704378595321,-0.7607569999981934,76.7738409999979,0.0,0.0,-65.37408899999878
development100,4,18,0000000000000000000000000000000000000000000000001000000000000000,mec_center,nccp,1019.4013132499999,1018.4750665,-0.9262467499999048,win,-11.114960999999312,-55.5748040182516,-102.53368680002188,-0.6903759999986505,10.082151000000522,0.0,0.0,-20.506736000001183
development100,4,18,0000000000000000000000000000000000000000000000001000000000000000,mec_center,segment_entry,1019.4013132499999,1018.5111341666667,-0.890179083333237,win,-10.68214899999839,-53.41076547029661,-101.40227656720344,-0.5338189999984024,10.132122999999865,0.0,0.0,-20.280453000001103
development100,4,18,0000000000000000000000000000000000000000000000001000000000000000,nccp,segment_entry,1018.4750665,1018.5111341666667,0.03606766666666772,loss,0.4328120000009221,2.1640385479549877,1.131410232818439,0.15655700000024808,0.0499719999993431,0.0,0.0,0.2262830000000804
