seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
268,12,760.0764334166666,594.7352501666667,-165.34118324999997,-6125.470979477563
269,12,751.9358216666666,598.2380421666667,-153.6977794999999,-4746.866730577167
270,15,586.6889855333334,462.04215473333335,-124.64683080000003,-7693.512279539296
271,10,913.9374033,700.7105386000001,-213.22686469999996,-6166.343230723658
272,16,542.997981,447.646176625,-95.35180437499997,-3723.144342942749
273,10,968.1002898,799.5332796,-168.56701020000003,-2058.350506296654
274,11,857.5413933636363,616.4132012727273,-241.128192090909,-7862.050539634773
275,12,751.6213823333333,584.8506109166666,-166.77077141666666,-6186.246284568519
276,13,662.0832859230769,504.6969627692307,-157.3863231538462,-7765.1109863493075
277,12,761.1322796666667,597.14258775,-163.98969191666674,-6784.381495287307
278,13,668.1576547692307,504.5377223076923,-163.61993246153838,-8475.295591835555
279,13,683.7404388461539,566.9694450769231,-116.77099376923081,-7500.114583349085
280,14,619.5600031428572,521.2017490000001,-98.35825414285716,-5315.077778747451
281,15,581.2313476666666,471.9259342666667,-109.3054133999999,-4722.905999799812
282,15,608.9368247333333,503.3562226,-105.58060213333329,-5238.545130755148
283,10,965.2200571,725.8525103,-239.3675468,-7068.377333347573
284,14,727.9130424285714,481.6330830714286,-246.27995935714284,-11354.597139228288
285,12,788.9469820833333,610.4342903333334,-178.51269174999993,-7005.761482458081
286,14,627.294096,494.03783842857143,-133.25625757142853,-7277.938016727501
287,16,444.163028625,315.02895875,-129.13406987499997,-7845.7255761661545
288,16,468.549812875,446.15283075,-22.396982124999965,-636.7585636340082
289,13,670.2219305384616,538.8258560769231,-131.39607446153855,-5825.744831462922
290,14,657.3879879285714,474.1541402857143,-183.23384764285714,-8416.369326525393
291,14,718.2522026428571,538.501696,-179.7505066428571,-9252.535448283328
292,14,604.4002426428572,454.00187807142856,-150.3983645714286,-8787.885521949996
293,15,619.8658360666667,476.9731044,-142.8927316666667,-7166.954867862154
294,14,657.6202054285715,506.1058400714286,-151.51436535714288,-6546.00555847209
295,10,913.9398934999999,729.3060653,-184.63382819999993,-4926.691406983351
296,10,952.5526444999999,688.9845164000001,-263.56812809999985,-8788.40636364781
297,13,742.0661154615385,589.0323351538461,-153.03378030769238,-6907.195697619762
298,15,566.8448401333334,451.99593293333334,-114.84890720000004,-6938.668050675857
299,15,564.8550329999999,452.33178066666665,-112.52325233333329,-6389.243917698728
300,15,595.9094718,500.280957,-95.6285148,-3912.138617345594
301,15,566.5754492666667,450.8529546,-115.72249466666676,-5809.187097374066
302,12,743.5894395833334,568.3005518333333,-175.28888775000007,-9162.333264341712
303,16,350.227198875,294.5840725,-55.64312637500001,-141.45011095539303
304,13,771.0208214615384,564.4425337692307,-206.57828769230764,-8692.588689757995
305,16,339.5383668125,404.7570266875,65.21865987500001,3787.492809063282
306,10,881.896066,724.8661665,-157.02989950000006,-4281.494972208988
307,15,592.1862780666667,507.57535153333333,-84.61092653333333,-5435.8194649902
308,14,677.0536272142857,526.4815275,-150.57209971428574,-7270.046956118174
309,11,806.3346162727273,636.5001041818182,-169.83451209090913,-4245.8981389354085
310,16,451.554491,498.8025405625,47.2480495625,2639.843977929402
311,13,707.5471453846154,521.0322570769231,-186.51488830769233,-8758.467740028882
312,14,655.9748524285715,563.9009342142857,-92.07391821428575,-4310.174271965068
313,14,615.7315376428571,518.8445295714286,-96.88700807142857,-3477.0905589985414
314,16,431.6095675625,322.276685375,-109.33288218749999,-5026.6305609126575
315,16,463.7721275625,468.292131375,4.520003812500022,2931.600301710081
316,12,798.8597646666667,594.8229860833334,-204.03677858333333,-7707.2067001773685
317,15,612.911133,454.76154973333337,-158.14958326666658,-7776.218746203347
318,11,841.747942,642.568871,-199.17907100000002,-7169.848886241449
319,16,454.901955625,320.23770525,-134.66425037500005,-7283.140010190611
320,16,497.830823125,300.3265696875,-197.50425343749998,-8745.340241689708
321,14,648.5783413571428,541.2673044285714,-107.31103692857141,-2896.7725637016592
322,15,645.1350951333334,585.4711347333334,-59.66396039999995,-1234.7970155569492
323,15,651.4473481333333,485.3262204,-166.1211277333333,-7604.08456448888
324,11,820.930096,644.8247543636363,-176.10534163636373,-7410.793753523645
325,14,600.4186107142857,513.9236225000001,-86.49498821428563,-5754.649159224064
326,15,616.9734784,475.4258283333333,-141.54765006666668,-6281.073737876821
327,14,635.6847495000001,509.70624564285714,-125.97850385714293,-4328.495253850397
328,11,772.4235777272727,619.8557817272728,-152.56779599999993,-5111.228785208314
329,12,815.6141999166666,620.04667475,-195.56752516666666,-8764.051489984697
330,13,697.787238076923,517.8287604615384,-179.9584776153846,-6457.3010496421775
331,16,423.083906875,295.15673,-127.92717687500004,-6864.174158060574
332,16,546.2334835625,416.045013125,-130.18847043750003,-6650.0776457338725
333,12,711.6276243333333,652.3250698333333,-59.30255450000004,-1678.153260893243
334,11,781.9040357272727,579.1021866363636,-202.80184909090906,-8329.10167420597
335,16,519.1450859375,456.63802075,-62.50706518749996,-4285.565213831367
336,13,698.8601354615384,565.1782625384615,-133.68187292307698,-6219.321712094486
337,12,735.4942523333334,530.4349099166667,-205.0593424166667,-9253.56053484874
338,13,712.9816303076924,576.7583041538462,-136.2233261538462,-5224.516199245249
339,13,679.1463166923077,524.8865164615385,-154.2598002307692,-8366.887015578799
340,12,729.8626958333333,541.25208325,-188.61061258333325,-8281.636733905314
341,11,835.9986764545455,584.0865622727273,-251.9121141818182,-8805.166260814523
342,15,679.6254708666667,502.5710882,-177.05438266666664,-9514.078707169876
343,13,742.2152380769231,531.9570163846154,-210.25822169230776,-9566.784386258143
344,11,809.8991572727272,648.0863524545455,-161.8128048181817,-6579.704223610068
345,13,678.5069573846154,478.07298323076924,-200.43397415384612,-8688.208321577331
346,13,723.216421,528.903420923077,-194.313000076923,-7915.344989525416
347,14,665.7583768571429,626.2477725714286,-39.510604285714294,-2310.742293083553
348,12,788.0779054166666,613.6155538333334,-174.4623515833332,-6447.7410897361115
349,15,605.4607710666667,546.7416030666667,-58.71916799999997,-1103.9375678757606
